year,geo,vehicle_type,origin_of_manufacture,sales,value
1963,Canada,Trucks,"Total, country of manufacture",Dollars,345918000
1963,Canada,Trucks,"Total, country of manufacture",Units,97202
1963,Canada,Trucks,"Total, overseas",Dollars,7275000
1963,Canada,Trucks,"Total, overseas",Units,2879
1963,Manitoba,Passenger cars,North America,Dollars,76911000
1963,Manitoba,Passenger cars,North America,Units,24249
1963,Manitoba,Passenger cars,"Total, overseas",Dollars,3159000
1963,Manitoba,Passenger cars,"Total, overseas",Units,1403
1963,New Brunswick,Passenger cars,North America,Dollars,37814000
1963,New Brunswick,Passenger cars,North America,Units,12247
1963,New Brunswick,Passenger cars,"Total, overseas",Dollars,4329000
1963,New Brunswick,Passenger cars,"Total, overseas",Units,2067
1963,Newfoundland and Labrador,Passenger cars,North America,Dollars,18323000
1963,Newfoundland and Labrador,Passenger cars,North America,Units,5949
1963,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,3177000
1963,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,1550
1963,Nova Scotia,Passenger cars,North America,Dollars,45951000
1963,Nova Scotia,Passenger cars,North America,Units,14975
1963,Nova Scotia,Passenger cars,"Total, overseas",Dollars,6515000
1963,Nova Scotia,Passenger cars,"Total, overseas",Units,3125
1963,Ontario,Passenger cars,North America,Dollars,669354000
1963,Ontario,Passenger cars,North America,Units,210532
1963,Ontario,Passenger cars,"Total, overseas",Dollars,40986000
1963,Ontario,Passenger cars,"Total, overseas",Units,19136
1963,Ontario,Trucks,North America,Dollars,106115000
1963,Ontario,Trucks,North America,Units,30013
1963,Ontario,Trucks,"Total, overseas",Dollars,2696000
1963,Ontario,Trucks,"Total, overseas",Units,1090
1963,Prince Edward Island,Passenger cars,North America,Dollars,7253000
1963,Prince Edward Island,Passenger cars,North America,Units,2386
1963,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,429000
1963,Prince Edward Island,Passenger cars,"Total, overseas",Units,209
1963,Quebec,Passenger cars,North America,Dollars,420211000
1963,Quebec,Passenger cars,North America,Units,131905
1963,Quebec,Passenger cars,"Total, overseas",Dollars,27659000
1963,Quebec,Passenger cars,"Total, overseas",Units,12856
1963,Quebec,Trucks,North America,Dollars,77413000
1963,Quebec,Trucks,North America,Units,20542
1963,Quebec,Trucks,"Total, overseas",Dollars,1565000
1963,Quebec,Trucks,"Total, overseas",Units,622
1963,Saskatchewan,Passenger cars,North America,Dollars,80206000
1963,Saskatchewan,Passenger cars,North America,Units,25223
1963,Saskatchewan,Passenger cars,"Total, overseas",Dollars,2812000
1963,Saskatchewan,Passenger cars,"Total, overseas",Units,1254
1964,Alberta,Passenger cars,North America,Dollars,135836000
1964,Alberta,Passenger cars,North America,Units,41270
1964,Alberta,Passenger cars,"Total, overseas",Dollars,7931000
1964,Alberta,Passenger cars,"Total, overseas",Units,3579
1964,British Columbia and the Territories,Passenger cars,North America,Dollars,145586000
1964,British Columbia and the Territories,Passenger cars,North America,Units,45457
1964,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,19874000
1964,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,9148
1964,British Columbia and the Territories,Trucks,North America,Dollars,47942000
1964,British Columbia and the Territories,Trucks,North America,Units,11371
1964,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,1384000
1964,British Columbia and the Territories,Trucks,"Total, overseas",Units,530
1964,Canada,Passenger cars,North America,Dollars,1796694000
1964,Canada,Passenger cars,North America,Units,550823
1964,Canada,Passenger cars,"Total, country of manufacture",Dollars,1936258000
1964,Canada,Passenger cars,"Total, country of manufacture",Units,616759
1964,Canada,Passenger cars,"Total, overseas",Dollars,139564000
1964,Canada,Passenger cars,"Total, overseas",Units,65936
1964,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,2337802000
1964,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,725879
1964,Canada,Trucks,North America,Dollars,395328000
1964,Canada,Trucks,North America,Units,106754
1964,Canada,Trucks,"Total, country of manufacture",Dollars,401544000
1964,Canada,Trucks,"Total, country of manufacture",Units,109120
1964,Canada,Trucks,"Total, overseas",Dollars,6216000
1964,Canada,Trucks,"Total, overseas",Units,2366
1964,Manitoba,Passenger cars,North America,Dollars,85081000
1964,Manitoba,Passenger cars,North America,Units,26187
1964,Manitoba,Passenger cars,"Total, overseas",Dollars,3872000
1964,Manitoba,Passenger cars,"Total, overseas",Units,1761
1964,New Brunswick,Passenger cars,North America,Dollars,43359000
1964,New Brunswick,Passenger cars,North America,Units,13665
1964,New Brunswick,Passenger cars,"Total, overseas",Dollars,5103000
1964,New Brunswick,Passenger cars,"Total, overseas",Units,2515
1964,Newfoundland and Labrador,Passenger cars,North America,Dollars,20740000
1964,Newfoundland and Labrador,Passenger cars,North America,Units,6526
1964,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,3742000
1964,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,1858
1964,Nova Scotia,Passenger cars,North America,Dollars,53197000
1964,Nova Scotia,Passenger cars,North America,Units,16861
1964,Nova Scotia,Passenger cars,"Total, overseas",Dollars,8215000
1964,Nova Scotia,Passenger cars,"Total, overseas",Units,4067
1964,Ontario,Passenger cars,North America,Dollars,740080000
1964,Ontario,Passenger cars,North America,Units,226670
1964,Ontario,Passenger cars,"Total, overseas",Dollars,52141000
1964,Ontario,Passenger cars,"Total, overseas",Units,24627
1964,Ontario,Trucks,North America,Dollars,127016000
1964,Ontario,Trucks,North America,Units,34805
1964,Ontario,Trucks,"Total, overseas",Dollars,2189000
1964,Ontario,Trucks,"Total, overseas",Units,843
1964,Prince Edward Island,Passenger cars,North America,Dollars,7460000
1964,Prince Edward Island,Passenger cars,North America,Units,2368
1964,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,556000
1964,Prince Edward Island,Passenger cars,"Total, overseas",Units,284
1964,Quebec,Passenger cars,North America,Dollars,474037000
1964,Quebec,Passenger cars,North America,Units,143687
1964,Quebec,Passenger cars,"Total, overseas",Dollars,35049000
1964,Quebec,Passenger cars,"Total, overseas",Units,16710
1964,Quebec,Trucks,North America,Dollars,86194000
1964,Quebec,Trucks,North America,Units,21206
1964,Quebec,Trucks,"Total, overseas",Dollars,1166000
1964,Quebec,Trucks,"Total, overseas",Units,450
1964,Saskatchewan,Passenger cars,North America,Dollars,91318000
1964,Saskatchewan,Passenger cars,North America,Units,28132
1964,Saskatchewan,Passenger cars,"Total, overseas",Dollars,3081000
1964,Saskatchewan,Passenger cars,"Total, overseas",Units,1387
1965,Alberta,Passenger cars,North America,Dollars,151969000
1965,Alberta,Passenger cars,North America,Units,45479
1965,Alberta,Passenger cars,"Total, overseas",Dollars,8589000
1965,Alberta,Passenger cars,"Total, overseas",Units,4023
1965,British Columbia and the Territories,Passenger cars,North America,Dollars,174512000
1965,British Columbia and the Territories,Passenger cars,North America,Units,53566
1965,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,24979000
1965,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,11293
1965,British Columbia and the Territories,Trucks,North America,Dollars,64596000
1965,British Columbia and the Territories,Trucks,North America,Units,14203
1965,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,1644000
1965,British Columbia and the Territories,Trucks,"Total, overseas",Units,602
1965,Canada,Passenger cars,North America,Dollars,2108565000
