year,geo,vehicle_type,origin_of_manufacture,sales,value
1993,Canada,"Total, new motor vehicles","Total, overseas",Units,297063
1993,Canada,Trucks,North America,Dollars,10227082000
1993,Canada,Trucks,North America,Units,402112
1993,Canada,Trucks,"Total, country of manufacture",Dollars,11352180000
1993,Canada,Trucks,"Total, country of manufacture",Units,453885
1993,Canada,Trucks,"Total, overseas",Dollars,1125101000
1993,Canada,Trucks,"Total, overseas",Units,51773
1993,Manitoba,Passenger cars,Japan,Dollars,71349000
1993,Manitoba,Passenger cars,Japan,Units,3948
1993,Manitoba,Passenger cars,North America,Dollars,239479000
1993,Manitoba,Passenger cars,North America,Units,13341
1993,Manitoba,Passenger cars,Other countries,Dollars,13749000
1993,Manitoba,Passenger cars,Other countries,Units,595
1993,Manitoba,Passenger cars,"Total, country of manufacture",Dollars,324576000
1993,Manitoba,Passenger cars,"Total, country of manufacture",Units,17884
1993,Manitoba,Passenger cars,"Total, overseas",Dollars,85096000
1993,Manitoba,Passenger cars,"Total, overseas",Units,4543
1993,Manitoba,"Total, new motor vehicles",North America,Dollars,665407000
1993,Manitoba,"Total, new motor vehicles",North America,Units,29011
1993,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Dollars,774981000
1993,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Units,34696
1993,Manitoba,"Total, new motor vehicles","Total, overseas",Dollars,109572000
1993,Manitoba,"Total, new motor vehicles","Total, overseas",Units,5685
1993,Manitoba,Trucks,North America,Dollars,425930000
1993,Manitoba,Trucks,North America,Units,15670
1993,Manitoba,Trucks,"Total, country of manufacture",Dollars,450408000
1993,Manitoba,Trucks,"Total, country of manufacture",Units,16812
1993,Manitoba,Trucks,"Total, overseas",Dollars,24476000
1993,Manitoba,Trucks,"Total, overseas",Units,1142
1993,New Brunswick,Passenger cars,Japan,Dollars,58754000
1993,New Brunswick,Passenger cars,Japan,Units,3694
1993,New Brunswick,Passenger cars,North America,Dollars,245257000
1993,New Brunswick,Passenger cars,North America,Units,15138
1993,New Brunswick,Passenger cars,Other countries,Dollars,12709000
1993,New Brunswick,Passenger cars,Other countries,Units,863
1993,New Brunswick,Passenger cars,"Total, country of manufacture",Dollars,316719000
1993,New Brunswick,Passenger cars,"Total, country of manufacture",Units,19695
1993,New Brunswick,Passenger cars,"Total, overseas",Dollars,71463000
1993,New Brunswick,Passenger cars,"Total, overseas",Units,4557
1993,New Brunswick,"Total, new motor vehicles",North America,Dollars,554426000
1993,New Brunswick,"Total, new motor vehicles",North America,Units,26558
1993,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Dollars,648053000
1993,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Units,32235
1993,New Brunswick,"Total, new motor vehicles","Total, overseas",Dollars,93629000
1993,New Brunswick,"Total, new motor vehicles","Total, overseas",Units,5677
1993,New Brunswick,Trucks,North America,Dollars,309171000
1993,New Brunswick,Trucks,North America,Units,11420
1993,New Brunswick,Trucks,"Total, country of manufacture",Dollars,331334000
1993,New Brunswick,Trucks,"Total, country of manufacture",Units,12540
1993,New Brunswick,Trucks,"Total, overseas",Dollars,22165000
1993,New Brunswick,Trucks,"Total, overseas",Units,1120
1993,Newfoundland and Labrador,Passenger cars,Japan,Dollars,37809000
1993,Newfoundland and Labrador,Passenger cars,Japan,Units,2473
1993,Newfoundland and Labrador,Passenger cars,North America,Dollars,156611000
1993,Newfoundland and Labrador,Passenger cars,North America,Units,9982
1993,Newfoundland and Labrador,Passenger cars,Other countries,Dollars,9198000
1993,Newfoundland and Labrador,Passenger cars,Other countries,Units,703
1993,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Dollars,203615000
1993,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Units,13158
1993,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,47004000
1993,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,3176
1993,Newfoundland and Labrador,"Total, new motor vehicles",North America,Dollars,274000000
1993,Newfoundland and Labrador,"Total, new motor vehicles",North America,Units,15369
1993,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Dollars,339317000
1993,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Units,19544
1993,Newfoundland and Labrador,"Total, new motor vehicles","Total, overseas",Dollars,65317000
1993,Newfoundland and Labrador,"Total, new motor vehicles","Total, overseas",Units,4175
1993,Newfoundland and Labrador,Trucks,North America,Dollars,117389000
1993,Newfoundland and Labrador,Trucks,North America,Units,5387
1993,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Dollars,135702000
1993,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Units,6386
1993,Newfoundland and Labrador,Trucks,"Total, overseas",Dollars,18314000
1993,Newfoundland and Labrador,Trucks,"Total, overseas",Units,999
1993,Nova Scotia,Passenger cars,Japan,Dollars,98096000
1993,Nova Scotia,Passenger cars,Japan,Units,5745
1993,Nova Scotia,Passenger cars,North America,Dollars,259505000
1993,Nova Scotia,Passenger cars,North America,Units,16418
1993,Nova Scotia,Passenger cars,Other countries,Dollars,24865000
1993,Nova Scotia,Passenger cars,Other countries,Units,1775
1993,Nova Scotia,Passenger cars,"Total, country of manufacture",Dollars,382466000
1993,Nova Scotia,Passenger cars,"Total, country of manufacture",Units,23938
1993,Nova Scotia,Passenger cars,"Total, overseas",Dollars,122963000
1993,Nova Scotia,Passenger cars,"Total, overseas",Units,7520
1993,Nova Scotia,"Total, new motor vehicles",North America,Dollars,484904000
1993,Nova Scotia,"Total, new motor vehicles",North America,Units,25916
1993,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Dollars,646329000
1993,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Units,35428
1993,Nova Scotia,"Total, new motor vehicles","Total, overseas",Dollars,161425000
1993,Nova Scotia,"Total, new motor vehicles","Total, overseas",Units,9512
1993,Nova Scotia,Trucks,North America,Dollars,225400000
1993,Nova Scotia,Trucks,North America,Units,9498
1993,Nova Scotia,Trucks,"Total, country of manufacture",Dollars,263863000
1993,Nova Scotia,Trucks,"Total, country of manufacture",Units,11490
1993,Nova Scotia,Trucks,"Total, overseas",Dollars,38464000
1993,Nova Scotia,Trucks,"Total, overseas",Units,1992
1993,Ontario,Passenger cars,Japan,Dollars,1246162000
1993,Ontario,Passenger cars,Japan,Units,63290
1993,Ontario,Passenger cars,North America,Dollars,3847934000
1993,Ontario,Passenger cars,North America,Units,214459
1993,Ontario,Passenger cars,Other countries,Dollars,426681000
1993,Ontario,Passenger cars,Other countries,Units,15649
1993,Ontario,Passenger cars,"Total, country of manufacture",Dollars,5520779000
1993,Ontario,Passenger cars,"Total, country of manufacture",Units,293398
1993,Ontario,Passenger cars,"Total, overseas",Dollars,1672843000
1993,Ontario,Passenger cars,"Total, overseas",Units,78939
1993,Ontario,"Total, new motor vehicles",North America,Dollars,7594150000
1993,Ontario,"Total, new motor vehicles",North America,Units,362344
1993,Ontario,"Total, new motor vehicles","Total, country of manufacture",Dollars,9623595000
1993,Ontario,"Total, new motor vehicles","Total, country of manufacture",Units,457394
1993,Ontario,"Total, new motor vehicles","Total, overseas",Dollars,2029443000
1993,Ontario,"Total, new motor vehicles","Total, overseas",Units,95050
1993,Ontario,Trucks,North America,Dollars,3746216000
1993,Ontario,Trucks,North America,Units,147885
1993,Ontario,Trucks,"Total, country of manufacture",Dollars,4102816000
1993,Ontario,Trucks,"Total, country of manufacture",Units,163996
1993,Ontario,Trucks,"Total, overseas",Dollars,356601000
1993,Ontario,Trucks,"Total, overseas",Units,16111
1993,Prince Edward Island,Passenger cars,Japan,Dollars,8466000
1993,Prince Edward Island,Passenger cars,Japan,Units,497
1993,Prince Edward Island,Passenger cars,North America,Dollars,34061000
1993,Prince Edward Island,Passenger cars,North America,Units,2150
1993,Prince Edward Island,Passenger cars,Other countries,Dollars,3156000
1993,Prince Edward Island,Passenger cars,Other countries,Units,293
1993,Prince Edward Island,Passenger cars,"Total, country of manufacture",Dollars,45681000
1993,Prince Edward Island,Passenger cars,"Total, country of manufacture",Units,2940
1993,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,11622000
1993,Prince Edward Island,Passenger cars,"Total, overseas",Units,790
1993,Prince Edward Island,"Total, new motor vehicles",North America,Dollars,62209000
1993,Prince Edward Island,"Total, new motor vehicles",North America,Units,3419
1993,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Dollars,78357000
1993,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Units,4449
1993,Prince Edward Island,"Total, new motor vehicles","Total, overseas",Dollars,16146000
1993,Prince Edward Island,"Total, new motor vehicles","Total, overseas",Units,1030
1993,Prince Edward Island,Trucks,North America,Dollars,28149000
1993,Prince Edward Island,Trucks,North America,Units,1269
1993,Prince Edward Island,Trucks,"Total, country of manufacture",Dollars,32674000
1993,Prince Edward Island,Trucks,"Total, country of manufacture",Units,1509
1993,Prince Edward Island,Trucks,"Total, overseas",Dollars,4525000
1993,Prince Edward Island,Trucks,"Total, overseas",Units,240
1993,Quebec,Passenger cars,Japan,Dollars,1286690000
1993,Quebec,Passenger cars,Japan,Units,77866
1993,Quebec,Passenger cars,North America,Dollars,2086206000
1993,Quebec,Passenger cars,North America,Units,123680
1993,Quebec,Passenger cars,Other countries,Dollars,353379000
1993,Quebec,Passenger cars,Other countries,Units,19797
1993,Quebec,Passenger cars,"Total, country of manufacture",Dollars,3726277000
1993,Quebec,Passenger cars,"Total, country of manufacture",Units,221343
1993,Quebec,Passenger cars,"Total, overseas",Dollars,1640070000
1993,Quebec,Passenger cars,"Total, overseas",Units,97663
1993,Quebec,"Total, new motor vehicles",North America,Dollars,4024486000
1993,Quebec,"Total, new motor vehicles",North America,Units,200039
1993,Quebec,"Total, new motor vehicles","Total, country of manufacture",Dollars,5918805000
1993,Quebec,"Total, new motor vehicles","Total, country of manufacture",Units,309698
1993,Quebec,"Total, new motor vehicles","Total, overseas",Dollars,1894319000
1993,Quebec,"Total, new motor vehicles","Total, overseas",Units,109659
1993,Quebec,Trucks,North America,Dollars,1938278000
1993,Quebec,Trucks,North America,Units,76359
1993,Quebec,Trucks,"Total, country of manufacture",Dollars,2192528000
1993,Quebec,Trucks,"Total, country of manufacture",Units,88355
1993,Quebec,Trucks,"Total, overseas",Dollars,254249000
1993,Quebec,Trucks,"Total, overseas",Units,11996
1993,Saskatchewan,Passenger cars,Japan,Dollars,48997000
1993,Saskatchewan,Passenger cars,Japan,Units,2528
1993,Saskatchewan,Passenger cars,North America,Dollars,173267000
1993,Saskatchewan,Passenger cars,North America,Units,9602
1993,Saskatchewan,Passenger cars,Other countries,Dollars,11252000
1993,Saskatchewan,Passenger cars,Other countries,Units,774
1993,Saskatchewan,Passenger cars,"Total, country of manufacture",Dollars,233515000
1993,Saskatchewan,Passenger cars,"Total, country of manufacture",Units,12904
1993,Saskatchewan,Passenger cars,"Total, overseas",Dollars,60247000
1993,Saskatchewan,Passenger cars,"Total, overseas",Units,3302
1993,Saskatchewan,"Total, new motor vehicles",North America,Dollars,573813000
1993,Saskatchewan,"Total, new motor vehicles",North America,Units,24615
1993,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Dollars,654497000
1993,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Units,28852
1993,Saskatchewan,"Total, new motor vehicles","Total, overseas",Dollars,80684000
1993,Saskatchewan,"Total, new motor vehicles","Total, overseas",Units,4237
1993,Saskatchewan,Trucks,North America,Dollars,400544000
1993,Saskatchewan,Trucks,North America,Units,15013
1993,Saskatchewan,Trucks,"Total, country of manufacture",Dollars,420980000
1993,Saskatchewan,Trucks,"Total, country of manufacture",Units,15948
1993,Saskatchewan,Trucks,"Total, overseas",Dollars,20437000
1993,Saskatchewan,Trucks,"Total, overseas",Units,935
1994,Alberta,Passenger cars,Japan,Dollars,131171000
1994,Alberta,Passenger cars,Japan,Units,6702
1994,Alberta,Passenger cars,North America,Dollars,853513000
1994,Alberta,Passenger cars,North America,Units,44946
1994,Alberta,Passenger cars,Other countries,Dollars,60488000
1994,Alberta,Passenger cars,Other countries,Units,2213
1994,Alberta,Passenger cars,"Total, country of manufacture",Dollars,1045173000
1994,Alberta,Passenger cars,"Total, country of manufacture",Units,53861
1994,Alberta,Passenger cars,"Total, overseas",Dollars,191661000
1994,Alberta,Passenger cars,"Total, overseas",Units,8915
1994,Alberta,"Total, new motor vehicles",North America,Dollars,2918531000
1994,Alberta,"Total, new motor vehicles",North America,Units,118100
1994,Alberta,"Total, new motor vehicles","Total, country of manufacture",Dollars,3190548000
1994,Alberta,"Total, new motor vehicles","Total, country of manufacture",Units,130217
1994,Alberta,"Total, new motor vehicles","Total, overseas",Dollars,272019000
1994,Alberta,"Total, new motor vehicles","Total, overseas",Units,12117
1994,Alberta,Trucks,North America,Dollars,2065018000
1994,Alberta,Trucks,North America,Units,73154
1994,Alberta,Trucks,"Total, country of manufacture",Dollars,2145375000
1994,Alberta,Trucks,"Total, country of manufacture",Units,76356
1994,Alberta,Trucks,"Total, overseas",Dollars,80359000
1994,Alberta,Trucks,"Total, overseas",Units,3202
1994,British Columbia and the Territories,Passenger cars,Japan,Dollars,307208000
1994,British Columbia and the Territories,Passenger cars,Japan,Units,15771
1994,British Columbia and the Territories,Passenger cars,North America,Dollars,1118038000
1994,British Columbia and the Territories,Passenger cars,North America,Units,57718
1994,British Columbia and the Territories,Passenger cars,Other countries,Dollars,224943000
1994,British Columbia and the Territories,Passenger cars,Other countries,Units,6245
1994,British Columbia and the Territories,Passenger cars,"Total, country of manufacture",Dollars,1650187000
1994,British Columbia and the Territories,Passenger cars,"Total, country of manufacture",Units,79734
1994,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,532149000
1994,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,22016
1994,British Columbia and the Territories,"Total, new motor vehicles",North America,Dollars,2862244000
1994,British Columbia and the Territories,"Total, new motor vehicles",North America,Units,124897
1994,British Columbia and the Territories,"Total, new motor vehicles","Total, country of manufacture",Dollars,3626901000
1994,British Columbia and the Territories,"Total, new motor vehicles","Total, country of manufacture",Units,155966
1994,British Columbia and the Territories,"Total, new motor vehicles","Total, overseas",Dollars,764659000
1994,British Columbia and the Territories,"Total, new motor vehicles","Total, overseas",Units,31069
1994,British Columbia and the Territories,Trucks,North America,Dollars,1744206000
1994,British Columbia and the Territories,Trucks,North America,Units,67179
1994,British Columbia and the Territories,Trucks,"Total, country of manufacture",Dollars,1976715000
1994,British Columbia and the Territories,Trucks,"Total, country of manufacture",Units,76232
1994,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,232509000
1994,British Columbia and the Territories,Trucks,"Total, overseas",Units,9053
1994,Canada,Passenger cars,Japan,Dollars,2346168000
1994,Canada,Passenger cars,Japan,Units,129547
1994,Canada,Passenger cars,North America,Dollars,10595001000
1994,Canada,Passenger cars,North America,Units,573361
1994,Canada,Passenger cars,Other countries,Dollars,1241727000
1994,Canada,Passenger cars,Other countries,Units,45758
1994,Canada,Passenger cars,"Total, country of manufacture",Dollars,14182894000
1994,Canada,Passenger cars,"Total, country of manufacture",Units,748666
1994,Canada,Passenger cars,"Total, overseas",Dollars,3587894000
1994,Canada,Passenger cars,"Total, overseas",Units,175305
1994,Canada,"Total, new motor vehicles",North America,Dollars,23441449000
1994,Canada,"Total, new motor vehicles",North America,Units,1048805
1994,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,27893795000
1994,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,1260056
1994,Canada,"Total, new motor vehicles","Total, overseas",Dollars,4452345000
1994,Canada,"Total, new motor vehicles","Total, overseas",Units,211251
1994,Canada,Trucks,North America,Dollars,12846447000
1994,Canada,Trucks,North America,Units,475444
1994,Canada,Trucks,"Total, country of manufacture",Dollars,13710902000
1994,Canada,Trucks,"Total, country of manufacture",Units,511390
1994,Canada,Trucks,"Total, overseas",Dollars,864453000
1994,Canada,Trucks,"Total, overseas",Units,35946
1994,Manitoba,Passenger cars,Japan,Dollars,43474000
1994,Manitoba,Passenger cars,Japan,Units,2417
1994,Manitoba,Passenger cars,North America,Dollars,281155000
1994,Manitoba,Passenger cars,North America,Units,15017
1994,Manitoba,Passenger cars,Other countries,Dollars,15526000
1994,Manitoba,Passenger cars,Other countries,Units,598
1994,Manitoba,Passenger cars,"Total, country of manufacture",Dollars,340156000
1994,Manitoba,Passenger cars,"Total, country of manufacture",Units,18032
1994,Manitoba,Passenger cars,"Total, overseas",Dollars,59001000
1994,Manitoba,Passenger cars,"Total, overseas",Units,3015
1994,Manitoba,"Total, new motor vehicles",North America,Dollars,806450000
1994,Manitoba,"Total, new motor vehicles",North America,Units,32837
1994,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Dollars,887077000
1994,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Units,36747
1994,Manitoba,"Total, new motor vehicles","Total, overseas",Dollars,80625000
1994,Manitoba,"Total, new motor vehicles","Total, overseas",Units,3910
1994,Manitoba,Trucks,North America,Dollars,525294000
1994,Manitoba,Trucks,North America,Units,17820
1994,Manitoba,Trucks,"Total, country of manufacture",Dollars,546922000
1994,Manitoba,Trucks,"Total, country of manufacture",Units,18715
1994,Manitoba,Trucks,"Total, overseas",Dollars,21624000
1994,Manitoba,Trucks,"Total, overseas",Units,895
1994,New Brunswick,Passenger cars,Japan,Dollars,35580000
1994,New Brunswick,Passenger cars,Japan,Units,2311
1994,New Brunswick,Passenger cars,North America,Dollars,259477000
1994,New Brunswick,Passenger cars,North America,Units,15344
1994,New Brunswick,Passenger cars,Other countries,Dollars,10624000
1994,New Brunswick,Passenger cars,Other countries,Units,580
1994,New Brunswick,Passenger cars,"Total, country of manufacture",Dollars,305682000
1994,New Brunswick,Passenger cars,"Total, country of manufacture",Units,18235
1994,New Brunswick,Passenger cars,"Total, overseas",Dollars,46204000
1994,New Brunswick,Passenger cars,"Total, overseas",Units,2891
1994,New Brunswick,"Total, new motor vehicles",North America,Dollars,616512000
1994,New Brunswick,"Total, new motor vehicles",North America,Units,28173
1994,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Dollars,677897000
1994,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Units,31779
1994,New Brunswick,"Total, new motor vehicles","Total, overseas",Dollars,61386000
1994,New Brunswick,"Total, new motor vehicles","Total, overseas",Units,3606
1994,New Brunswick,Trucks,North America,Dollars,357033000
1994,New Brunswick,Trucks,North America,Units,12829
1994,New Brunswick,Trucks,"Total, country of manufacture",Dollars,372217000
1994,New Brunswick,Trucks,"Total, country of manufacture",Units,13544
1994,New Brunswick,Trucks,"Total, overseas",Dollars,15183000
1994,New Brunswick,Trucks,"Total, overseas",Units,715
1994,Newfoundland and Labrador,Passenger cars,Japan,Dollars,29809000
1994,Newfoundland and Labrador,Passenger cars,Japan,Units,1933
1994,Newfoundland and Labrador,Passenger cars,North America,Dollars,167920000
1994,Newfoundland and Labrador,Passenger cars,North America,Units,10229
1994,Newfoundland and Labrador,Passenger cars,Other countries,Dollars,10028000
1994,Newfoundland and Labrador,Passenger cars,Other countries,Units,652
1994,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Dollars,207759000
1994,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Units,12814
1994,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,39837000
1994,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,2585
1994,Newfoundland and Labrador,"Total, new motor vehicles",North America,Dollars,319380000
1994,Newfoundland and Labrador,"Total, new motor vehicles",North America,Units,16900
1994,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Dollars,373506000
1994,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Units,20225
1994,Newfoundland and Labrador,"Total, new motor vehicles","Total, overseas",Dollars,54127000
1994,Newfoundland and Labrador,"Total, new motor vehicles","Total, overseas",Units,3325
1994,Newfoundland and Labrador,Trucks,North America,Dollars,151459000
1994,Newfoundland and Labrador,Trucks,North America,Units,6671
1994,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Dollars,165747000
1994,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Units,7411
1994,Newfoundland and Labrador,Trucks,"Total, overseas",Dollars,14291000
1994,Newfoundland and Labrador,Trucks,"Total, overseas",Units,740
1994,Nova Scotia,Passenger cars,Japan,Dollars,63915000
1994,Nova Scotia,Passenger cars,Japan,Units,3803
1994,Nova Scotia,Passenger cars,North America,Dollars,300604000
1994,Nova Scotia,Passenger cars,North America,Units,17862
1994,Nova Scotia,Passenger cars,Other countries,Dollars,24537000
1994,Nova Scotia,Passenger cars,Other countries,Units,1395
1994,Nova Scotia,Passenger cars,"Total, country of manufacture",Dollars,389056000
1994,Nova Scotia,Passenger cars,"Total, country of manufacture",Units,23060
1994,Nova Scotia,Passenger cars,"Total, overseas",Dollars,88451000
1994,Nova Scotia,Passenger cars,"Total, overseas",Units,5198
1994,Nova Scotia,"Total, new motor vehicles",North America,Dollars,598210000
1994,Nova Scotia,"Total, new motor vehicles",North America,Units,29788
1994,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Dollars,710889000
1994,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Units,36157
1994,Nova Scotia,"Total, new motor vehicles","Total, overseas",Dollars,112680000
1994,Nova Scotia,"Total, new motor vehicles","Total, overseas",Units,6369
1994,Nova Scotia,Trucks,North America,Dollars,297608000
1994,Nova Scotia,Trucks,North America,Units,11926
1994,Nova Scotia,Trucks,"Total, country of manufacture",Dollars,321835000
1994,Nova Scotia,Trucks,"Total, country of manufacture",Units,13097
1994,Nova Scotia,Trucks,"Total, overseas",Dollars,24228000
1994,Nova Scotia,Trucks,"Total, overseas",Units,1171
1994,Ontario,Passenger cars,Japan,Dollars,844380000
1994,Ontario,Passenger cars,Japan,Units,42238
1994,Ontario,Passenger cars,North America,Dollars,4684844000
1994,Ontario,Passenger cars,North America,Units,246185
1994,Ontario,Passenger cars,Other countries,Dollars,500578000
1994,Ontario,Passenger cars,Other countries,Units,16009
1994,Ontario,Passenger cars,"Total, country of manufacture",Dollars,6029799000
1994,Ontario,Passenger cars,"Total, country of manufacture",Units,304432
1994,Ontario,Passenger cars,"Total, overseas",Dollars,1344956000
1994,Ontario,Passenger cars,"Total, overseas",Units,58247
1994,Ontario,"Total, new motor vehicles",North America,Dollars,9369478000
1994,Ontario,"Total, new motor vehicles",North America,Units,423231
1994,Ontario,"Total, new motor vehicles","Total, country of manufacture",Dollars,10982205000
1994,Ontario,"Total, new motor vehicles","Total, country of manufacture",Units,492420
1994,Ontario,"Total, new motor vehicles","Total, overseas",Dollars,1612727000
1994,Ontario,"Total, new motor vehicles","Total, overseas",Units,69189
1994,Ontario,Trucks,North America,Dollars,4684634000
1994,Ontario,Trucks,North America,Units,177046
1994,Ontario,Trucks,"Total, country of manufacture",Dollars,4952405000
1994,Ontario,Trucks,"Total, country of manufacture",Units,187988
1994,Ontario,Trucks,"Total, overseas",Dollars,267771000
1994,Ontario,Trucks,"Total, overseas",Units,10942
1994,Prince Edward Island,Passenger cars,Japan,Dollars,5855000
1994,Prince Edward Island,Passenger cars,Japan,Units,372
1994,Prince Edward Island,Passenger cars,North America,Dollars,39339000
1994,Prince Edward Island,Passenger cars,North America,Units,2337
1994,Prince Edward Island,Passenger cars,Other countries,Dollars,3728000
1994,Prince Edward Island,Passenger cars,Other countries,Units,294
1994,Prince Edward Island,Passenger cars,"Total, country of manufacture",Dollars,48921000
1994,Prince Edward Island,Passenger cars,"Total, country of manufacture",Units,3003
1994,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,9581000
1994,Prince Edward Island,Passenger cars,"Total, overseas",Units,666
1994,Prince Edward Island,"Total, new motor vehicles",North America,Dollars,76767000
1994,Prince Edward Island,"Total, new motor vehicles",North America,Units,3966
1994,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Dollars,89048000
1994,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Units,4764
1994,Prince Edward Island,"Total, new motor vehicles","Total, overseas",Dollars,12279000
1994,Prince Edward Island,"Total, new motor vehicles","Total, overseas",Units,798
1994,Prince Edward Island,Trucks,North America,Dollars,37430000
1994,Prince Edward Island,Trucks,North America,Units,1629
1994,Prince Edward Island,Trucks,"Total, country of manufacture",Dollars,40127000
1994,Prince Edward Island,Trucks,"Total, country of manufacture",Units,1761
1994,Prince Edward Island,Trucks,"Total, overseas",Dollars,2697000
1994,Prince Edward Island,Trucks,"Total, overseas",Units,132
1994,Quebec,Passenger cars,Japan,Dollars,854649000
1994,Quebec,Passenger cars,Japan,Units,52463
1994,Quebec,Passenger cars,North America,Dollars,2669431000
1994,Quebec,Passenger cars,North America,Units,152059
1994,Quebec,Passenger cars,Other countries,Dollars,380895000
1994,Quebec,Passenger cars,Other countries,Units,17230
1994,Quebec,Passenger cars,"Total, country of manufacture",Dollars,3904974000
1994,Quebec,Passenger cars,"Total, country of manufacture",Units,221752
1994,Quebec,Passenger cars,"Total, overseas",Dollars,1235544000
1994,Quebec,Passenger cars,"Total, overseas",Units,69693
1994,Quebec,"Total, new motor vehicles",North America,Dollars,5155036000
1994,Quebec,"Total, new motor vehicles",North America,Units,241398
1994,Quebec,"Total, new motor vehicles","Total, country of manufacture",Dollars,6577769000
1994,Quebec,"Total, new motor vehicles","Total, country of manufacture",Units,319424
1994,Quebec,"Total, new motor vehicles","Total, overseas",Dollars,1422730000
1994,Quebec,"Total, new motor vehicles","Total, overseas",Units,78026
1994,Quebec,Trucks,North America,Dollars,2485606000
1994,Quebec,Trucks,North America,Units,89339
1994,Quebec,Trucks,"Total, country of manufacture",Dollars,2672793000
1994,Quebec,Trucks,"Total, country of manufacture",Units,97672
1994,Quebec,Trucks,"Total, overseas",Dollars,187187000
1994,Quebec,Trucks,"Total, overseas",Units,8333
1994,Saskatchewan,Passenger cars,Japan,Dollars,30129000
1994,Saskatchewan,Passenger cars,Japan,Units,1537
1994,Saskatchewan,Passenger cars,North America,Dollars,220679000
1994,Saskatchewan,Passenger cars,North America,Units,11664
1994,Saskatchewan,Passenger cars,Other countries,Dollars,10382000
1994,Saskatchewan,Passenger cars,Other countries,Units,542
1994,Saskatchewan,Passenger cars,"Total, country of manufacture",Dollars,261187000
1994,Saskatchewan,Passenger cars,"Total, country of manufacture",Units,13743
1994,Saskatchewan,Passenger cars,"Total, overseas",Dollars,40507000
1994,Saskatchewan,Passenger cars,"Total, overseas",Units,2079
1994,Saskatchewan,"Total, new motor vehicles",North America,Dollars,718839000
1994,Saskatchewan,"Total, new motor vehicles",North America,Units,29515
1994,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Dollars,777956000
1994,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Units,32357
1994,Saskatchewan,"Total, new motor vehicles","Total, overseas",Dollars,59113000
1994,Saskatchewan,"Total, new motor vehicles","Total, overseas",Units,2842
1994,Saskatchewan,Trucks,North America,Dollars,498160000
1994,Saskatchewan,Trucks,North America,Units,17851
1994,Saskatchewan,Trucks,"Total, country of manufacture",Dollars,516769000
1994,Saskatchewan,Trucks,"Total, country of manufacture",Units,18614
1994,Saskatchewan,Trucks,"Total, overseas",Dollars,18606000
1994,Saskatchewan,Trucks,"Total, overseas",Units,763
1995,Alberta,Passenger cars,Japan,Dollars,83467000
1995,Alberta,Passenger cars,Japan,Units,3759
1995,Alberta,Passenger cars,North America,Dollars,918936000
1995,Alberta,Passenger cars,North America,Units,44340
1995,Alberta,Passenger cars,Other countries,Dollars,72911000
1995,Alberta,Passenger cars,Other countries,Units,2348
1995,Alberta,Passenger cars,"Total, country of manufacture",Dollars,1075314000
1995,Alberta,Passenger cars,"Total, country of manufacture",Units,50447
