REF_DATE,VALUE,from,dim_trad,dim_mode,dim_years,dim_type,to
2008,3860,9,1,1,1,1,9
2008,115,9,1,1,1,1,10
2008,5,9,1,1,1,1,11
2008,15,9,1,1,2,1,1
2008,5,9,1,1,2,1,2
2008,10,9,1,1,2,1,3
2008,5,9,1,1,2,1,4
2008,5,9,1,1,2,1,5
2008,20,9,1,1,2,1,6
2008,15,9,1,1,2,1,7
2008,100,9,1,1,2,1,8
2008,3810,9,1,1,2,1,9
2008,140,9,1,1,2,1,10
2008,5,9,1,1,2,1,11
2008,5,9,2,1,1,1,1
2008,5,9,2,1,1,1,3
2008,10,9,2,1,1,1,6
2008,5,9,2,1,1,1,7
2008,20,9,2,1,1,1,8
2008,1250,9,2,1,1,1,9
2008,45,9,2,1,1,1,10
2008,5,9,2,1,1,1,11
2008,10,9,2,1,2,1,1
2008,5,9,2,1,2,1,3
2008,10,9,2,1,2,1,6
2008,5,9,2,1,2,1,7
2008,20,9,2,1,2,1,8
2008,1210,9,2,1,2,1,9
2008,50,9,2,1,2,1,10
2008,5,9,3,1,1,1,8
2008,475,9,3,1,1,1,9
2008,5,9,3,1,1,1,10
2008,5,9,3,1,2,1,6
2008,10,9,3,1,2,1,8
2008,455,9,3,1,2,1,9
2008,10,9,3,1,2,1,10
2008,15,9,4,1,1,1,1
2008,10,9,4,1,1,1,3
2008,5,9,4,1,1,1,4
2008,5,9,4,1,1,1,5
2008,30,9,4,1,1,1,6
2008,20,9,4,1,1,1,7
2008,110,9,4,1,1,1,8
2008,5585,9,4,1,1,1,9
2008,165,9,4,1,1,1,10
2008,10,9,4,1,1,1,11
2008,25,9,4,1,2,1,1
2008,5,9,4,1,2,1,2
2008,15,9,4,1,2,1,3
2008,5,9,4,1,2,1,4
2008,5,9,4,1,2,1,5
2008,35,9,4,1,2,1,6
2008,20,9,4,1,2,1,7
2008,130,9,4,1,2,1,8
2008,5475,9,4,1,2,1,9
2008,200,9,4,1,2,1,10
2008,5,9,4,1,2,1,11
2008,5,10,1,1,1,1,6
2008,5,10,1,1,1,1,7
2008,5,10,1,1,1,1,8
2008,60,10,1,1,1,1,9
2008,1905,10,1,1,1,1,10
2008,5,10,1,1,1,1,11
2008,5,10,1,1,2,1,5
2008,10,10,1,1,2,1,6
2008,5,10,1,1,2,1,7
2008,15,10,1,1,2,1,8
2008,85,10,1,1,2,1,9
2008,1845,10,1,1,2,1,10
2008,5,10,1,1,2,1,11
2008,5,10,2,1,1,1,6
2008,20,10,2,1,1,1,9
2008,750,10,2,1,1,1,10
2008,5,10,2,1,2,1,6
2008,30,10,2,1,2,1,9
2008,750,10,2,1,2,1,10
2008,5,10,3,1,1,1,8
2008,10,10,3,1,1,1,9
2008,465,10,3,1,1,1,10
2008,5,10,3,1,2,1,6
2008,20,10,3,1,2,1,9
2008,455,10,3,1,2,1,10
2008,10,10,4,1,1,1,6
2008,5,10,4,1,1,1,7
2008,10,10,4,1,1,1,8
2008,90,10,4,1,1,1,9
2008,3120,10,4,1,1,1,10
2008,5,10,4,1,1,1,11
2008,5,10,4,1,2,1,5
2008,20,10,4,1,2,1,6
2008,5,10,4,1,2,1,7
2008,15,10,4,1,2,1,8
2008,135,10,4,1,2,1,9
2008,3050,10,4,1,2,1,10
2008,5,10,4,1,2,1,11
2008,5,11,1,1,1,1,8
2008,5,11,1,1,1,1,9
2008,45,11,1,1,1,1,11
2008,10,11,1,1,2,1,9
2008,5,11,1,1,2,1,10
2008,35,11,1,1,2,1,11
2008,10,11,2,1,1,1,11
2008,15,11,2,1,2,1,11
2008,5,11,4,1,1,1,8
2008,5,11,4,1,1,1,9
2008,60,11,4,1,1,1,11
2008,10,11,4,1,2,1,9
2008,5,11,4,1,2,1,10
2008,55,11,4,1,2,1,11
2009,385,1,1,1,1,1,1
2009,5,1,1,1,1,1,3
2009,5,1,1,1,1,1,6
2009,15,1,1,1,1,1,9
2009,390,1,1,1,2,1,1
2009,5,1,1,1,2,1,6
2009,15,1,1,1,2,1,9
2009,60,1,2,1,1,1,1
2009,5,1,2,1,1,1,9
2009,65,1,2,1,2,1,1
2009,5,1,2,1,2,1,9
2009,450,1,4,1,1,1,1
2009,5,1,4,1,1,1,3
2009,5,1,4,1,1,1,6
2009,20,1,4,1,1,1,9
2009,455,1,4,1,2,1,1
2009,5,1,4,1,2,1,6
2009,20,1,4,1,2,1,9
2009,75,2,1,1,1,1,2
2009,5,2,1,1,1,1,4
2009,5,2,1,1,1,1,6
2009,5,2,1,1,1,1,8
2009,5,2,1,1,2,1,1
2009,65,2,1,1,2,1,2
2009,5,2,1,1,2,1,4
2009,5,2,1,1,2,1,6
2009,10,2,1,1,2,1,9
2009,20,2,2,1,1,1,2
2009,20,2,2,1,2,1,2
2009,95,2,4,1,1,1,2
2009,5,2,4,1,1,1,4
2009,5,2,4,1,1,1,6
2009,5,2,4,1,1,1,8
2009,5,2,4,1,2,1,1
2009,85,2,4,1,2,1,2
2009,5,2,4,1,2,1,4
2009,5,2,4,1,2,1,6
2009,10,2,4,1,2,1,9
2009,280,3,1,1,1,1,3
2009,5,3,1,1,1,1,6
2009,20,3,1,1,1,1,9
2009,5,3,1,1,1,1,10
2009,265,3,1,1,2,1,3
2009,5,3,1,1,2,1,6
2009,5,3,1,1,2,1,8
2009,20,3,1,1,2,1,9
2009,5,3,1,1,2,1,10
2009,5,3,1,1,2,1,11
2009,115,3,2,1,1,1,3
2009,105,3,2,1,2,1,3
2009,5,3,2,1,2,1,4
2009,10,3,2,1,2,1,9
2009,400,3,4,1,1,1,3
2009,5,3,4,1,1,1,6
2009,20,3,4,1,1,1,9
2009,5,3,4,1,1,1,10
2009,380,3,4,1,2,1,3
2009,5,3,4,1,2,1,4
2009,5,3,4,1,2,1,6
2009,5,3,4,1,2,1,8
2009,30,3,4,1,2,1,9
2009,5,3,4,1,2,1,10
2009,5,3,4,1,2,1,11
2009,350,4,1,1,1,1,4
2009,10,4,1,1,1,1,9
2009,345,4,1,1,2,1,4
2009,5,4,1,1,2,1,5
2009,5,4,1,1,2,1,7
2009,10,4,1,1,2,1,9
2009,150,4,2,1,1,1,4
2009,140,4,2,1,2,1,4
2009,5,4,2,1,2,1,9
2009,30,4,3,1,1,1,4
2009,30,4,3,1,2,1,4
2009,530,4,4,1,1,1,4
2009,10,4,4,1,1,1,9
2009,515,4,4,1,2,1,4
2009,5,4,4,1,2,1,5
2009,5,4,4,1,2,1,7
2009,15,4,4,1,2,1,9
2009,5,5,1,1,1,1,4
2009,2440,5,1,1,1,1,5
2009,5,5,1,1,1,1,9
2009,5,5,1,1,1,1,10
2009,2420,5,1,1,2,1,5
2009,5,5,1,1,2,1,10
2009,1950,5,2,1,1,1,5
2009,5,5,2,1,1,1,9
2009,1950,5,2,1,2,1,5
2009,10,5,2,1,2,1,9
2009,2250,5,3,1,1,1,5
2009,10,5,3,1,1,1,6
2009,5,5,3,1,1,1,9
2009,2245,5,3,1,2,1,5
2009,10,5,3,1,2,1,6
2009,5,5,3,1,2,1,8
2009,5,5,3,1,2,1,9
2009,5,5,3,1,2,1,10
2009,5,5,4,1,1,1,4
2009,6640,5,4,1,1,1,5
2009,10,5,4,1,1,1,6
2009,15,5,4,1,1,1,9
2009,5,5,4,1,1,1,10
2009,6615,5,4,1,2,1,5
2009,10,5,4,1,2,1,6
2009,5,5,4,1,2,1,8
2009,15,5,4,1,2,1,9
2009,10,5,4,1,2,1,10
2009,5,6,1,1,1,1,1
2009,5,6,1,1,1,1,2
2009,5,6,1,1,1,1,3
2009,5,6,1,1,1,1,4
2009,35,6,1,1,1,1,5
2009,4505,6,1,1,1,1,6
2009,5,6,1,1,1,1,7
2009,10,6,1,1,1,1,8
2009,40,6,1,1,1,1,9
2009,20,6,1,1,1,1,10
2009,5,6,1,1,2,1,1
2009,5,6,1,1,2,1,2
2009,5,6,1,1,2,1,3
2009,5,6,1,1,2,1,4
2009,30,6,1,1,2,1,5
2009,4500,6,1,1,2,1,6
2009,5,6,1,1,2,1,7
2009,20,6,1,1,2,1,8
